date,workerid,amount
Mon Jan 21 14:46:52 PST 2019,A1EOVMNNT8Q370,0.4
Mon Jan 21 14:48:37 PST 2019,A1V3FV89RVGASD,0.4
Mon Jan 21 14:52:10 PST 2019,A2ID4B3JMUWAP7,0.4
Mon Jan 21 14:54:53 PST 2019,AOV6272WT2T1N,0.4
Mon Jan 21 15:02:41 PST 2019,A1IXVXZ5AYYNMJ,0.4
Mon Jan 21 15:11:24 PST 2019,A1ZQ8QDHK9FK3V,0.4
Mon Jan 21 16:42:27 PST 2019,AT60ESWGVSAG9,0.4
Mon Jan 21 17:21:23 PST 2019,A1PZ51LBRX8JUO,0.4
Mon Jan 21 18:03:59 PST 2019,A25SORYWGW7RQC,0.4
,total paid to workers:,=SUM(c2:c10)
,40% paid to Amazon:,=.4*c11
,total:,=SUM(c11:c12
