date,workerid,amount
Wed Mar 13 07:41:21 PDT 2019,A3IWYPQOLHFYDN,0.5
Wed Mar 13 08:04:29 PDT 2019,A3OYGDYB0ZQ15R,0.5
Wed Mar 13 11:38:26 PDT 2019,AN7U5F3ADIV8N,0.5
Thu Mar 14 05:03:46 PDT 2019,A2C7LVAQNJ5GOS,0.5
Thu Mar 14 22:02:47 PDT 2019,A2R5CRD8Z19E3X,0.5
Fri Mar 15 22:41:39 PDT 2019,A6GS1C9J3ARSB,0.5
Fri Mar 15 23:41:18 PDT 2019,A1WSSSEYTPLEUW,0.5
Sun Mar 17 02:37:12 PDT 2019,AHFTVNAQ2HUJ2,0.5
Mon Mar 18 07:41:07 PDT 2019,A3M7FFRAGWNH16,0.5
,total paid to workers:,=SUM(c2:c10)
,40% paid to Amazon:,=.4*c11
,total:,=SUM(c11:c12
